,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,nomatch_score,match_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
172,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,Show Off Riddim,Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"February 15 , 2012",0.5346967,0.4653034,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Released')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', 'December 10 , 2013']","['Garriosn Anthem', 'Show Off Riddim', 'February 15 , 2012']",1@47894 0@5343 1@40847,3
173,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"International , Caribbean & Cuba , Reggae",$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.5316465,0.46835342,"('rtable_Song_Name', 'rtable_Genre', 'rtable_Price')","['The High Fells ( Extended Version )', 'Soundtracks', '$ 1.29']","['Garriosn Anthem', 'International , Caribbean & Cuba , Reggae', '$ 0.99']",1@47894 0@5343 1@40847,3
174,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"International , Caribbean & Cuba , Reggae",$ 1.29,2007 TJ Records,3:38,"December 10 , 2013",0.5236848,0.4763152,"('rtable_Song_Name', 'rtable_Genre', 'rtable_CopyRight')","['The High Fells ( Extended Version )', 'Soundtracks', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.']","['Garriosn Anthem', 'International , Caribbean & Cuba , Reggae', '2007 TJ Records']",1@47894 0@5343 1@40847,3
176,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"International , Caribbean & Cuba , Reggae",$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"February 15 , 2012",0.5324867,0.46751326,"('rtable_Song_Name', 'rtable_Genre', 'rtable_Released')","['The High Fells ( Extended Version )', 'Soundtracks', 'December 10 , 2013']","['Garriosn Anthem', 'International , Caribbean & Cuba , Reggae', 'February 15 , 2012']",1@47894 0@5343 1@40847,3
177,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 0.99,2007 TJ Records,3:38,"December 10 , 2013",0.52368015,0.47631985,"('rtable_Song_Name', 'rtable_Price', 'rtable_CopyRight')","['The High Fells ( Extended Version )', '$ 1.29', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.']","['Garriosn Anthem', '$ 0.99', '2007 TJ Records']",1@47894 0@5343 1@40847,3
178,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:12,"December 10 , 2013",0.5234695,0.47653046,"('rtable_Song_Name', 'rtable_Price', 'rtable_Time')","['The High Fells ( Extended Version )', '$ 1.29', '3:38']","['Garriosn Anthem', '$ 0.99', '3:12']",1@47894 0@5343 1@40847,3
161,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:42,"November 6 , 2012",0.5961505,0.40384948,"('rtable_Song_Name', 'rtable_Time', 'rtable_Released')","['The High Fells ( Extended Version )', '3:38', 'December 10 , 2013']","['Bring It Back', '3:42', 'November 6 , 2012']",1@47894 0@5343 1@25995,3
179,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"February 15 , 2012",0.5234191,0.47658092,"('rtable_Song_Name', 'rtable_Price', 'rtable_Released')","['The High Fells ( Extended Version )', '$ 1.29', 'December 10 , 2013']","['Garriosn Anthem', '$ 0.99', 'February 15 , 2012']",1@47894 0@5343 1@40847,3
171,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,Show Off Riddim,Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:12,"December 10 , 2013",0.53469664,0.46530336,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Time')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', '3:38']","['Garriosn Anthem', 'Show Off Riddim', '3:12']",1@47894 0@5343 1@40847,3
160,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2012 Rusko Recordings,3:38,"November 6 , 2012",0.59659356,0.40340638,"('rtable_Song_Name', 'rtable_CopyRight', 'rtable_Released')","['The High Fells ( Extended Version )', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.', 'December 10 , 2013']","['Bring It Back', '2012 Rusko Recordings', 'November 6 , 2012']",1@47894 0@5343 1@25995,3
148,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Howard Shore,Kapow,Soundtracks,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.60615146,0.3938485,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Price')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', '$ 1.29']","['Bring It Back', 'Kapow', '$ 0.99']",1@47894 0@5343 1@25995,3
158,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"November 6 , 2012",0.59615034,0.4038496,"('rtable_Song_Name', 'rtable_Price', 'rtable_Released')","['The High Fells ( Extended Version )', '$ 1.29', 'December 10 , 2013']","['Bring It Back', '$ 0.99', 'November 6 , 2012']",1@47894 0@5343 1@25995,3
180,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Garriosn Anthem,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2007 TJ Records,3:12,"December 10 , 2013",0.5236802,0.47631976,"('rtable_Song_Name', 'rtable_CopyRight', 'rtable_Time')","['The High Fells ( Extended Version )', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.', '3:38']","['Garriosn Anthem', '2007 TJ Records', '3:12']",1@47894 0@5343 1@40847,3
140,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,I Want A Cowboy,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:39,"August 18 , 2009",0.5228863,0.4771137,"('rtable_Song_Name', 'rtable_Time', 'rtable_Released')","['The High Fells ( Extended Version )', '3:38', 'December 10 , 2013']","['I Want A Cowboy', '3:39', 'August 18 , 2009']",1@47894 0@5343 1@26108,3
141,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Rusko,Kapow,Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.69503003,0.30497,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Album_Name')","['The High Fells ( Extended Version )', 'Howard Shore', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]']","['Bring It Back', 'Rusko', 'Kapow']",1@47894 0@5343 1@25995,3
142,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Rusko,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Dance & Electronic , Dubstep",$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.6980485,0.30195156,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Genre')","['The High Fells ( Extended Version )', 'Howard Shore', 'Soundtracks']","['Bring It Back', 'Rusko', 'Dance & Electronic , Dubstep']",1@47894 0@5343 1@25995,3
143,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Rusko,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.6972675,0.30273253,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Price')","['The High Fells ( Extended Version )', 'Howard Shore', '$ 1.29']","['Bring It Back', 'Rusko', '$ 0.99']",1@47894 0@5343 1@25995,3
144,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Rusko,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2012 Rusko Recordings,3:38,"December 10 , 2013",0.6970776,0.30292237,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_CopyRight')","['The High Fells ( Extended Version )', 'Howard Shore', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.']","['Bring It Back', 'Rusko', '2012 Rusko Recordings']",1@47894 0@5343 1@25995,3
145,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Rusko,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:42,"December 10 , 2013",0.69726783,0.30273223,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Time')","['The High Fells ( Extended Version )', 'Howard Shore', '3:38']","['Bring It Back', 'Rusko', '3:42']",1@47894 0@5343 1@25995,3
146,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Rusko,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"November 6 , 2012",0.6972825,0.30271748,"('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Released')","['The High Fells ( Extended Version )', 'Howard Shore', 'December 10 , 2013']","['Bring It Back', 'Rusko', 'November 6 , 2012']",1@47894 0@5343 1@25995,3
159,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],Soundtracks,$ 1.29,2012 Rusko Recordings,3:42,"December 10 , 2013",0.59659356,0.40340644,"('rtable_Song_Name', 'rtable_CopyRight', 'rtable_Time')","['The High Fells ( Extended Version )', '2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.', '3:38']","['Bring It Back', '2012 Rusko Recordings', '3:42']",1@47894 0@5343 1@25995,3
147,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Howard Shore,Kapow,"Dance & Electronic , Dubstep",$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:38,"December 10 , 2013",0.6079299,0.3920701,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Genre')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', 'Soundtracks']","['Bring It Back', 'Kapow', 'Dance & Electronic , Dubstep']",1@47894 0@5343 1@25995,3
150,The Woodland Realm ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:14,10-Dec-13,Bring It Back,Howard Shore,Kapow,Soundtracks,$ 1.29,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,3:42,"December 10 , 2013",0.6063568,0.3936432,"('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Time')","['The High Fells ( Extended Version )', 'The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ]', '3:38']","['Bring It Back', 'Kapow', '3:42']",1@47894 0@5343 1@25995,3
